site_id,project,location_type,stations,date_installation,latitude_installation,longitude_installation,altitude_installation,date_last_valid,latitude_last_valid,longitude_last_valid,altitude_last_valid
CEN,GC-Net,ice sheet,CEN2 CEN1 GITS,1995-06-07,77.1378,-61.0411,1872.01,2025-02-18,77.18194,-61.115919,1889.62
CP1,GC-Net,ice sheet,CP1 CrawfordPoint1,1995-05-23,69.881216,-46.977476,1959.76,2025-02-18,69.871083,-47.045188,1949.58
DY2,GC-Net,ice sheet,DY2 DYE-2,1996-05-24,66.479419,-46.277815,2114.92,2025-02-18,66.482616,-46.294984,2126.8
EGP,GC-Net,ice sheet,EGP EastGRIP,2014-05-17,75.583291,-35.992863,2663.5,2025-02-18,75.627892,-35.967495,2668.43
FRE,Glaciobasis,local glacier,FRE,2021-07-27,74.387915,-20.832836,685.32,2025-02-18,74.388089,-20.833282,685.04
HUM,GC-Net,ice sheet,HUM Humboldt,1995-06-22,78.525542,-56.830847,1973.73,2025-02-18,78.529118,-56.845549,1967.02
JAR,GC-Net,ice sheet,JAR_O JAR JAR1,1996-06-19,69.498586,-49.682,932.21,2025-02-18,69.494053,-49.674163,929.22
KAN_B,PROMICE,tundra,KAN_B,2011-04-13,67.13,-50.18,350.0,2025-02-18,67.13,-50.18,350.0
KAN_L,PROMICE,ice sheet,KAN_Lv3 KAN_L,2008-09-01,67.097322,-49.931817,678.73,2025-02-18,67.104739,-49.933956,686.42
KAN_M,PROMICE,ice sheet,KAN_M,2008-09-02,67.065724,-48.816434,1271.5,2025-02-18,67.06841,-48.855287,1264.67
KAN_T,PROMICE,ice sheet,KAN_Tv3,2024-05-18,67.150852,-50.03507,503.67,2025-02-18,67.150926,-50.035179,500.2
KAN_U,PROMICE,ice sheet,KAN_U,2009-04-04,67.000159,-47.016845,1845.17,2025-02-18,67.000804,-47.036219,1849.39
KPC_L,PROMICE,ice sheet,KPC_Lv3 KPC_L,2008-07-17,79.911001,-24.085617,377.0,2023-01-08,79.913875,-24.093307,372.98
KPC_U,PROMICE,ice sheet,KPC_Uv3 KPC_U,2008-07-17,79.833905,-25.170461,867.13,2023-01-20,79.834921,-25.162375,865.43
LYN_L,GalcioBasis,local glacier,LYN_L,2021-09-01,69.318918,-53.543892,536.92,2025-02-18,69.318943,-53.54361,539.97
LYN_T,GalcioBasis,local glacier,LYN_T,2021-09-01,69.304271,-53.590203,940.13,2024-04-19,69.304269,-53.590195,943.75
MIT,PROMICE,local glacier,MIT,2009-05-04,65.692565,-37.825559,465.42,2025-02-18,65.691891,-37.8302,426.47
NAE,GC-Net,ice sheet,NAE NASA-E,1997-05-03,74.999995,-30.000935,2622.7,2025-02-18,75.002671,-29.978366,2626.92
NAU,GC-Net,ice sheet,NAU NASA-U,1995-05-31,73.842035,-49.492071,2337.92,2025-02-18,73.840529,-49.536337,2335.19
NEM,GC-Net,ice sheet,NEM NEEM,2006-03-29,77.4413,-51.0999,2460.0,2025-02-18,77.441444,-51.084337,2455.52
NSE,GC-Net,ice sheet,NSE NASA-SE,1998-04-24,66.479796,-42.500533,2372.07,2025-02-18,66.477431,-42.492639,2384.79
NUK_B,PROMICE,tundra,NUK_B,2023-10-03,64.461435,-50.152737,110.16,2025-02-18,64.461443,-50.152749,108.22
NUK_K,PROMICE,local glacier,NUK_K,2014-07-28,64.162257,-51.358668,713.35,2025-02-18,64.162296,-51.358665,700.34
NUK_L,PROMICE,ice sheet,NUK_L,2007-08-20,64.481722,-49.521597,585.05,2025-02-18,64.484492,-49.556458,483.5
NUK_N,PROMICE,ice sheet,NUK_N,2010-07-25,64.945811,-49.883669,927.92,2014-07-25,64.945235,-49.884955,919.01
NUK_P,PREMAS-PROMICE,tundra,NUK_P,2024-11-06,64.191092,-51.694091,52.16,2025-02-18,64.191081,-51.694095,51.83
NUK_U,PROMICE,ice sheet,NUK_Uv3 NUK_U,2007-08-20,64.498747,-49.258602,1148.08,2025-02-18,64.508687,-49.288442,1113.93
